category,type
,Major Scales
,Minor Scales
,Modes
,Pentatonic Scales
,Blues Scales
,Diminished Scales
,Whole Tone Scales
,Chromatic Scales
,Natural Minor Scales
,Harmonic Minor Scales
,Ionian
,Dorian
,Phrygian
,Lydian
,Mixolydian
,Aeolian
,Locrian
,Major Pentatonic Scales
,Minor Pentatonic Scales
,Major Blues Scales
,Minor Blues Scales
,Whole Half
,Half Whole
